Datetime,Temperature (C),Humidity (%),Wind Speed (m/s),Weather
2024-06-13 03:00:00,30.33000000000004,78,2.86,light rain
2024-06-13 06:00:00,33.02000000000004,63,4.13,light rain
2024-06-13 09:00:00,31.700000000000045,69,1.78,light rain
2024-06-13 12:00:00,30.04000000000002,74,2.79,light rain
2024-06-13 15:00:00,28.900000000000034,79,2.83,light rain
2024-06-13 18:00:00,28.060000000000002,86,2.41,light rain
2024-06-13 21:00:00,27.379999999999995,89,2.39,moderate rain
2024-06-14 00:00:00,29.189999999999998,81,2.51,moderate rain
2024-06-14 03:00:00,32.58000000000004,64,4.24,moderate rain
2024-06-14 06:00:00,32.73000000000002,63,5.12,light rain
2024-06-14 09:00:00,31.870000000000005,64,3.38,light rain
2024-06-14 12:00:00,29.730000000000018,71,2.13,light rain
2024-06-14 15:00:00,28.410000000000025,83,2.56,light rain
2024-06-14 18:00:00,27.010000000000048,91,1.7,moderate rain
2024-06-14 21:00:00,26.689999999999998,91,2.01,moderate rain
2024-06-15 00:00:00,28.400000000000034,84,3.07,moderate rain
2024-06-15 03:00:00,32.22000000000003,66,4.03,moderate rain
2024-06-15 06:00:00,33.56,61,2.79,light rain
2024-06-15 09:00:00,32.56,66,2.99,moderate rain
2024-06-15 12:00:00,29.230000000000018,76,3.73,moderate rain
2024-06-15 15:00:00,28.25,82,0.61,light rain
2024-06-15 18:00:00,27.5,86,1.3,light rain
2024-06-15 21:00:00,27.03000000000003,90,1.53,light rain
2024-06-16 00:00:00,29.27000000000004,79,2.66,light rain
2024-06-16 03:00:00,32.35000000000002,64,4.62,light rain
2024-06-16 06:00:00,32.78000000000003,65,3.4,moderate rain
2024-06-16 09:00:00,30.340000000000032,78,1.1,moderate rain
2024-06-16 12:00:00,29.090000000000032,82,1.16,moderate rain
2024-06-16 15:00:00,28.180000000000007,86,1.68,light rain
2024-06-16 18:00:00,27.590000000000032,87,2.01,moderate rain
2024-06-16 21:00:00,26.879999999999995,91,1.91,light rain
2024-06-17 00:00:00,28.840000000000032,84,2.56,light rain
2024-06-17 03:00:00,33.120000000000005,58,4.75,overcast clouds
2024-06-17 06:00:00,31.74000000000001,67,3.1,light rain
2024-06-17 09:00:00,29.720000000000027,77,1.28,moderate rain
2024-06-17 12:00:00,27.879999999999995,85,2.35,light rain
2024-06-17 15:00:00,27.57000000000005,86,1.9,overcast clouds
2024-06-17 18:00:00,27.480000000000018,86,1.36,overcast clouds
2024-06-17 21:00:00,27.180000000000007,87,1.09,light rain
2024-06-18 00:00:00,27.27000000000004,87,1.8,light rain
